# coding: utf-8
# 小鹤音形符号、补充简码等词库
# 该文件以UTF-8编码保存
# 编码各字段以制表符（Tab）分隔
# 编码格式：词条Tab编码Tab权重（权重决定重码的次序，权重大则居前，无重码则无需权重）
# 
#    === 强调一下 === 
# 
#   词条和编码之间的不是空格，而是Tab符，如果你不知道，就复制下面编码中的空白处
#   或者按住键盘 G 键，切换到功能键盘，使用上面的Tab键
# 
#    ================
# 
# 本词库默认包含了临时生僻字、补充简码、增补字、符号及部分emoji表情


两	oxl	95
里	oxl	94
吏	oxl	93
耒	oxl	92
卵	oxl	91
丽	oxl	90
木	oxm	100
毛	oxm	99
米	oxm	98
门	oxm	97
马	oxm	96
皿	oxm	95
末	oxm	94
灭	oxm	93
母	oxm	92
民	oxm	91
么	oxm	90
面	oxm	89
廿	oxn	100
女	oxn	99
牛	oxn	98
鸟	oxn	97
乃	oxn	96
内	oxn	95
农	oxn	94
年	oxn	93
片	oxp	100
平	oxp	99
爿	oxp	98
七	oxq	100
千	oxq	99
犬	oxq	98
且	oxq	97
丘	oxq	96
曲	oxq	95
气	oxq	94
乞	oxq	93
人	oxr	100
入	oxr	99
冉	oxr	98
壬	oxr	97
刃	oxr	96
三	oxs	100
巳	oxs	99
肃	oxs	98
土	oxt	100
天	oxt	99
太	oxt	98
屯	oxt	97
十	oxu	100
尸	oxu	99
士	oxu	98
手	oxu	97
身	oxu	96
水	oxu	95
上	oxu	94
少	oxu	93
术	oxu	92
失	oxu	91
生	oxu	90
世	oxu	89
申	oxu	88
史	oxu	87
升	oxu	86
事	oxu	85
书	oxu	84
束	oxu	83
勺	oxu	82
戍	oxu	81
豕	oxu	80
氏	oxu	79
矢	oxu	78
止	oxv	100
爪	oxv	99
主	oxv	98
舟	oxv	97
之	oxv	96
正	oxv	95
丈	oxv	94
中	oxv	93
专	oxv	92
朱	oxv	91
州	oxv	90
重	oxv	89
乍	oxv	88
王	oxw	100
瓦	oxw	99
五	oxw	98
无	oxw	97
万	oxw	96
午	oxw	95
卫	oxw	94
亡	oxw	93
未	oxw	92
乌	oxw	91
韦	oxw	90
勿	oxw	89
为	oxw	88
戊	oxw	87
我	oxw	86
丸	oxw	85
兀	oxw	84
小	oxx	100
西	oxx	99
心	oxx	98
血	oxx	97
下	oxx	96
夕	oxx	95
乡	oxx	94
习	oxx	93
戌	oxx	92
又	oxy	100
酉	oxy	99
已	oxy	98
于	oxy	97
义	oxy	96
与	oxy	95
夭	oxy	94
玉	oxy	93
牙	oxy	92
丫	oxy	91
永	oxy	90
尤	oxy	89
也	oxy	88
业	oxy	87
由	oxy	86
央	oxy	85
亚	oxy	84
严	oxy	83
用	oxy	82
幺	oxy	81
禺	oxy	80
臾	oxy	79
尹	oxy	78
禹	oxy	77
夷	oxy	76
弋	oxy	75
聿	oxy	74
雨	oxy	73
再	oxz	100
自	oxz	99
子	oxz	98
①	oyy	90
②	oye	90
③	oys	90
④	oyd	90
⑤	oyw	90
⑥	oyl	90
⑦	oyq	90
⑧	oyb	90
⑨	oyj	90
⑩	oyu	90
Ⅰ	oyy	30
Ⅱ	oye	30
Ⅲ	oys	30
Ⅳ	oyd	30
Ⅴ	oyw	30
Ⅵ	oyl	30
Ⅶ	oyq	30
Ⅷ	oyb	30
Ⅸ	oyj	30
Ⅹ	oyu	30
“	oz
#临时生僻字
𬤊	diy/
偾	ffr/
汔	qid/
怃	wux/
蝓	yui/
凇	ssd/
匜	yik/
嵎	yue/
彧	yua/
恓	xix/
恓	qix/
揳	xpf/
榖	guu/
浕	jbd/
湜	uid/
澥	xpd/
烜	xrh/
翃	hsu/
㛚	tsn/
玙	yuw/
祇	qip/
祇	vip/
舻	luv/
縠	huu/
羑	yzy/
翚	hvx/
蒟	juc/
豨	xiu/
蹾	dyz/
郿	mwv/
铻	wuj/
靺	mog/
鹲	mgc/
颎	jsb/
馃	gou/
鹐	qmd/
襞	biu/
邶	bwl/
蒺	jic/
殛	jid/
剞	jid/
蓠	lic/
蟊	mcs/
摭	vif/
潴	vud/
渫	xpd/
褰	qmb/
鋈	wud/
谳	yjy/
纡	yus/
蚰	yzi/
锩	jrj/
瘼	mob/
筲	ucv/
秫	uuh/
琡	uuw/
螈	yri/
蛄	gui/
桕	jqm/
鲡	lia/
苈	lic/
呖	lik/
鼙	piu/
桤	qim/
愀	qnx/
溏	thd/
轾	vii/
卮	vip/
洧	wwd/
沩	wwd/
隈	wwe/
葸	xic/
螅	xii/
伛	yur/
潆	ykd/
橥	vuq/
榍	xpm/
欹	qid/
僬	jnr/
蠃	low/
埏	ujt/
萆	bic/
舭	biv/
牿	gun/
嘏	guu/
冱	hud/
楗	jmm/
痃	xrb/
窬	yub/
邘	yuy/
伋	jir/
汈	dnd/
氾	fjd/
讱	rfy/
扞	hjf/
朸	lim/
䜣	xiy/
䜣	xby/
䜣	yby/
玘	qiw/
扺	vif/
旴	xuo/
汧	qmd/
沄	yyd/
沘	bid/
诇	xsy/
岊	jpb/
鄃	uur/
䢼	gsc/
茋	vic/
苾	bic/
枅	jim/
枍	yim/
咇	bik/
肸	xio/
饳	dou/
泜	vid/
泇	jxd/
酏	yiy/
垍	jit/
郚	wuw/
䴓	uia/
昽	lso/
虸	zii/
哃	tsk/
峗	wwe/
帡	pkj/
钘	xkj/
俙	xir/
饻	xiu/
洓	sed/
洓	qid/
洓	zid/
浉	uid/
洢	yid/
祏	uip/
姞	jin/
姽	gvn/
